No., English               , Vessenzlendisç  , 発音          , 日本語
  1, I                     , iç              , /ɪɕ/          , 私
  2, you (singular)        , ðaw             , /ðɑʊ/         , あなた
  3, he                    , hé              , /ɦeː/         , 彼
  4, we                    , vé              , /ʋeː/         , 私達
  5, you (plural)          , jé              , /jeː/         , あなた達
  6, they                  , huj             , /ɦœʏ/         , 彼ら
  7, this                  , ðis             , /ðɪs/         , これ
  8, that                  , se              , /sɛ(ː)/       , それ; あれ
  9, here                  , hérr            , /ɦeɽ/         , ここ
 10, there                 , ðiar            , /ðjɑːɽ/       , そこ; あそこ
 11, who                   , hva             , /fɑː/; /xʋ-/  , 誰
 12, what                  , hvat            , /fɐtʰ/; /xʋ-/ , 何
 13, where                 , hvar            , /fɐɽ/; /xʋ-/  , どこ
 14, when                  , hvœnn           , /fœn/; /xʋ-/  , いつ
 15, how                   , hvaw            , /fɑʊ/; /xʋ-/  , どう
 16, not                   , naght           , /nɐxtʼ/       , 無い
 17, all                   , jaal            , /jɑːl/        , 皆
 18, many                  , myzçel          , /ˈmiːʑəl/     , 多い
 19, some                  , sum             , /sø̃ː/         , いくつかの
 20, few                   , fjaw            , /fjɑʊ/        , 少ない
 21, other                 , ooðer           , /ˈuːðəɽ/      , 他
 22, one                   , an              , /ɑ̃ː/          , 一
 23, two                   , tvęģ            , /tʰʋɛ̃ɪ̃/       , 二
 24, three                 , ðrao            , /ðɽoː/        , 三
 25, four                  , fewr            , /fjoːɽ/       , 四
 26, five                  , fajf            , /faɪf/        , 五
 27, big                   , sturr           , /stʼʏɽ/       , 大きい
 28, long                  , long            , /lɔŋ/         , 長い
 29, wide                  , brad            , /bɽɑːd/       , 広い
 30, thick                 , ðicc            , /ðɪkʰ/        , 厚い
 31, heavy                 , hevvaģ          , /ˈɦɛʋaɪ/      , 重い
 32, small                 , zmal            , /zmɑːl/       , 小さい
 33, short                 , sçort           , /ɬɔɻtʰ/       , 短い
 34, narrow                , niaro           , /ˈnjɑːɽoː/    , 狭い
 35, thin                  , ðynn            , /ðɪn/         , 細い
 36, woman                 , vajman          , /ˈʋaɪmɑ̃ː/     , 女
 37, man (male)            , man             , /mɑ̃ː/         , 男
 38, man (human)           , man             , /mɑ̃ː/         , 人
 39, child                 , çilder          , /ˈɕɪldəɽ/     , 子
 40, wife                  , vajf            , /ʋaɪf/        , 妻
 41, husband               , hawzbonde       , /ˈɦɑʊzbɔndə/  , 夫
 42, mother                , móder           , /ˈmuːdəɽ/     , 母
 43, father                , fader           , /ˈfɑːdəɽ/     , 父
 44, animal                , viltdewr        , /ˈʋɪltʼjoːɽ/  , 獣
 45, fish                  , fisç            , /fɪɬ/         , 魚
 46, bird                  , britd           , /bɽɪtʼ/       , 鳥
 47, dog                   , hund            , /ɦʏn/         , 犬
 48, louse                 , laws            , /lɑʊs/        , シラミ
 49, snake                 , znake           , /ˈznɑːkʰə/    , 蛇
 50, worm                  , vỹr             , /ʋẽːɽ/        , ミミズ
 51, tree                  , trev            , /tʰɽɛːʋ/      , 木
 52, forest                , vued            , /ʋyːd/        , 森
 53, stick                 , sticge          , /ˈstʼɪkʼə/    , 杖
 54, fruit                 , frujt           , /fɽœʏtʰ/      , 実
 55, seed                  , sedd            , /sɛd/         , 種
 56, leaf                  , liaf            , /ljɑːf/       , 葉
 57, root                  , rótt            , /ɽʊtʰ/        , 根
 58, bark (of a tree)      , barc            , /bɐɽkʰ/       , 樹皮
 59, flower                , bluzme          , /ˈblyːzmə/    , 花
 60, grass                 , grass; pl. graaz, /ɡɽɐs/        , 草
 61, rope                  , repp            , /ɽɛpʰ/        , 縄
 62, skin                  , sçajð           , /ɬaɪð/        , 皮
 63, meat                  , flesç           , /flɛɬ/        , 肉
 64, blood                 , blódd           , /blʊd/        , 血
 65, bone                  , ban             , /bɑ̃ː/         , 骨
 66, fat (noun)            , fetd            , /fɛtʼ/        , 脂
 67, egg                   , ei              , /ɛɪ/          , 卵
 68, horn                  , honr            , /ɦõːɽ/        , 角
 69, tail                  ,                 , //            , 尾
 70, feather               ,                 , //            , 羽
 71, hair                  ,                 , //            , 髪
 72, head                  , hjawd           , /ɦjɑʊd/       , 頭
 73, ear                   , iar             , /jɑːɽ/        , 耳
 74, eye                   , jeģ             , /jɛɪ/         , 目
 75, nose                  , noos            , /noːs/        , 鼻
 76, mouth                 , mawð            , /mɑʊð/        , 口
 77, tooth                 , tóðð            , /tʰʊð/        , 歯
 78, tongue                , tung            , /tʰʏŋ/        , 舌
 79, fingernail            , (finger)neģl    , /ˈfɪŋəɻnɛɪl/  , 爪
 80, foot                  , fótt            , /fʊtʰ/        , 足
 81, leg                   , lecge           , /ˈlɛkʼə/      , 脚
 82, knee                  , cnev            , /kʰnɛːʋ/      , 膝
 83, hand                  , hand            , /ɦɐn/         , 手
 84, wing                  , fiðer           , /ˈfiːðəɽ/     , 翼
 85, belly                 , bylli           , /ˈbɪliː/      , 腹
 86, guts                  , gutdas          , /ˈɡʏtʼɐs/     , 腸; 肝
 87, neck                  , fnecge          , /ˈfnɛkʼə/     , 首
 88, back                  , fryçç           , /fɽɪɕ/        , 背
 89, breast                , brewst          , /bɽɪɔstʼ/     , 胸; 乳
 90, heart                 , hœrt            , /ɦœɻtʰ/       , 心
 91, liver                 , liver           , /ˈliːʋəɽ/     , 肝
 92, to drink              , drincan         , /ˈdɽɪŋkʰɑ̃ː/   , 飲む
 93, to eat                , eatan           , /ˈɛːtʰɑ̃ː/     , 食う; 食べる
 94, to bite               , bajtan          , /ˈbaɪtʰɑ̃ː/    , 噛む
 95, to suck               ,                 , //            , 吸う
 96, to spit               ,                 , //            , 唾を吐く
 97, to vomit              ,                 , //            , 吐く
 98, to blow               ,                 , //            , 吹く
 99, to breathe            , fnestjan        , /ˈfnɛstʼjɑ̃ː/  , 息をする
100, to laugh              , sçyghan         , /ˈɬɪxɑ̃ː/      , 笑う
101, to see                , seean           , /ˈseːɑ̃ː/      , 見る
102, to hear               ,                 , //            , 聞く
103, to know               , ģucnavan        , /jʏˈkʰnɑːʋɑ̃ː/ , 知る
104, to think              , vénan           , /ˈʋeːnɑ̃ː/     , 思う
105, to smell              ,                 , //            , 嗅ぐ
106, to fear               ,                 , //            , 恐れる
107, to sleep              , sclepan         , /ˈskʼlɛːpʰɑ̃ː/ , 眠る;寝る
108, to live               ,                 , //            , 生きる
109, to die                , dujan           , /ˈdœʏɑ̃ː/      , 死ぬ
110, to kill               , scliaghan       , /ˈskʼlɪɐxɑ̃ː/  , 殺す
111, to fight              , fœghtan         , /ˈfœxtʼɑ̃ː/    , 闘う
112, to hunt               ,                 , //            , 狩る
113, to hit                ,                 , //            , 叩く
114, to cut                , znajðan         , /ˈznaɪðɑ̃ː/    , 切る
115, to split              ,                 , //            , 割る
116, to stab               ,                 , //            , 刺す
117, to scratch            ,                 , //            , 掻く
